,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,93,84,80,93,98,97,87,82,80,81,84,86,82,77,79,79,89,82,79,72,89,75,77,81,75,69,68,65,69,63,62,64
1,75,72,74,70,72,61,70,69,71,74,67,59,68,68,64,74,70,61,60,62,62,56,54,65,67,60,57,61,64,61,53,48
2,53,54,50,45,45,58,48,54,44,40,42,43,33,43,36,42,39,38,50,40,33,35,31,38,35,39,34,44,42,44,47,38
3,34,26,32,26,22,29,30,28,31,23,28,27,22,26,23,25,23,28,23,24,28,29,29,25,21,24,25,29,31,33,39,37
4,21,26,18,18,22,30,33,29,34,48,74,53,25,18,24,25,16,23,18,19,25,26,31,31,29,30,25,41,42,34,32,34
5,37,34,29,32,34,30,29,28,29,22,33,35,32,27,29,30,42,30,41,39,35,33,32,42,37,35,31,37,36,46,42,52
6,47,41,48,45,49,57,53,47,41,41,41,33,40,49,52,40,39,48,46,51,49,47,42,43,46,53,63,58,65,67,63,65
7,63,62,68,70,66,73,71,61,56,60,68,78,66,78,61,61,69,70,73,94,76,73,75,70,68,78,80,70,79,73,68,66
8,68,62,55,61,61,68,69,66,75,74,73,79,71,63,69,70,72,68,68,69,58,74,78,64,72,69,62,65,73,72,76,75
9,70,69,69,57,57,56,58,69,61,66,73,72,63,74,88,69,97,78,73,74,72,71,58,59,58,61,64,68,72,67,64,64
10,59,61,58,55,51,60,78,63,70,60,63,60,70,57,58,69,54,51,52,63,66,61,67,73,66,60,56,65,66,69,55,53
11,58,70,58,51,61,61,60,69,64,61,65,52,60,64,57,58,52,64,59,73,69,64,66,59,53,61,63,56,55,60,56,52
12,53,59,59,56,68,71,65,62,74,60,74,81,59,64,73,77,72,59,71,61,60,62,58,56,65,71,72,77,64,55,61,55
13,62,61,58,68,83,68,73,78,59,71,63,58,65,55,66,62,61,62,58,64,66,57,70,64,55,60,68,60,56,59,64,70
14,56,59,62,63,51,59,65,60,66,65,62,68,68,58,59,72,67,52,60,65,53,61,68,63,67,65,54,64,71,72,72,71
15,65,66,66,66,66,61,59,61,64,70,68,64,60,59,62,63,63,64,72,57,59,61,58,58,55,59,63,61,56,58,56,71
16,55,57,59,66,70,64,68,54,58,57,62,55,55,64,66,55,52,65,70,76,57,59,83,65,56,68,74,72,56,55,66,58
17,60,61,66,58,60,69,59,57,56,57,63,64,65,67,67,65,58,59,64,63,63,59,52,52,60,64,60,68,69,67,65,61
18,61,61,71,69,50,77,70,61,79,82,71,57,58,53,58,57,54,60,57,58,61,58,49,56,55,47,62,64,54,71,60,60
19,68,59,73,65,74,80,69,78,56,68,75,71,76,68,63,63,67,59,57,59,55,54,61,71,64,63,66,76,76,63,56,71
20,95,84,79,85,92,91,85,83,78,78,81,79,74,67,75,69,72,67,73,79,87,75,72,73,68,65,66,65,62,67,70,64
21,70,75,67,68,71,65,68,68,69,66,60,57,62,67,63,78,77,61,58,62,59,58,57,69,65,59,55,62,67,56,53,46
22,55,56,51,39,37,46,42,49,46,42,42,44,39,42,36,31,37,34,48,41,37,45,34,36,32,35,32,46,44,43,41,34
